city,event_name,event_type,event_date
Florence,Florence Art Festival,Exhibition,2025-04-26
Florence,Tuscany Jazz Night,Music,2025-04-28
Florence,Medici Palace Guided Tour,Heritage,2025-04-30
Florence,Food & Wine Experience,Festival,2025-05-02
Brussels,Brussels Comic Strip Day,Cultural,2025-04-27
Brussels,Atomium Light Show,Exhibition,2025-04-29
Brussels,Brussels Jazz Marathon,Music,2025-05-01
Brussels,Beer & Food Weekend,Festival,2025-05-04
Barcelona,Primavera Sound Warm-Up,Concert,2025-04-26
Barcelona,Gothic Quarter Art Walk,Cultural,2025-04-28
Barcelona,Barcelona Marathon,Sports,2025-04-30
Barcelona,Tapas Tasting Tour,Festival,2025-05-03
Madrid,Madrid Open Tennis,Sports,2025-04-27
Madrid,Flamenco Live Experience,Music,2025-04-29
Madrid,Retiro Park Fair,Cultural,2025-05-01
Madrid,San Isidro Pre-Fiesta,Festival,2025-05-05
